ID,UQNO,Q12Gender,Q13Age,Q14Population,Q15Mothaliv,Q16Mothparthh,Q17Fathaliv,Q18Fathparthh,Q19G_Parparthh,Q22Attend,Q23Eduinst,Q24AGE_GR1,Q25Miss_Day,Q26Miss_Rsn,Q27Daysabsent,Q28Everattend,Q51EXTRAWORK_W,Q51TIME,Q52ABEG_LSTW,Q52BBEG_LSTYR,Q53AFARMWRK_Y,Q53BFETCHWATER_Y,Q53CFETCHWOOD_Y,Q53DPRODHHGDS_Y,Q53ECONSTRUC_Y,Q53FCATCHFOOD_Y,Q54TIME,Q71HHTASKS,Q72TIME,Q741AFTERSCH,Q742BEFORESCH,Q743WEEKEND,Q75SCHOOL_CHORES,Q76TIME,Q77DIFF,Q78BSUBCODE,Child_Labour,Stratum
0,299114180000001408,Female,15,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,3.0,Yes,No,Yes,Yes,0.0,No,IsiXhosa Home Language,No,23103
755,299114180000001408,Male,10,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,7.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,10.0,Yes,No,Yes,Yes,0.0,Yes,Life Skills,No,23103
1,464100370000008128,Female,16,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,7.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,5.0,No,Yes,Yes,No,0.0,No,Mathematics,No,40105
796,464100370000008128,Male,12,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,7.0,Yes,Illness,1 to 4 days,Yes,No,0.0,No,No,No,No,No,No,No,No,1.0,Yes,1.0,No,Yes,Yes,No,0.0,No,Afrikaans First Additional Language,No,40105
3008,464100370000008128,Female,16,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,7.0,No,Not_Absent,5 to 9 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,1.0,No,Yes,Yes,No,0.0,Yes,Accounting,No,40105
2,526100710000036032,Female,11,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,Yes,"Other, specify",1 to 4 days,Yes,No,0.0,No,No,No,Yes,No,No,No,No,0.0,Yes,1.0,Yes,No,Yes,No,0.0,No,IsiZulu Home Language,No,50216
3,524105720000010304,Male,12,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,Yes,1.0,No,No,Yes,Yes,No,No,No,No,1.0,Yes,2.0,Yes,No,Yes,No,0.0,No,Mathematics,No,50301
2188,524105720000010304,Male,7,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,5.0,Yes,Did not want to/feel like going to school,1 to 4 days,Yes,No,0.0,No,No,Yes,No,No,No,No,No,0.0,No,0.0,No,No,No,No,0.0,No,English First Additional Language,No,50301
10093,524105720000010304,Male,9,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,Yes,1.0,No,No,Yes,Yes,No,No,No,No,0.0,Yes,0.0,No,No,Yes,No,0.0,No,English First Additional Language,No,50301
4,799131050000010240,Male,9,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,Not_Absent,0 days,Yes,No,0.0,No,No,No,No,No,No,No,No,0.0,Yes,1.0,No,No,Yes,No,0.0,No,IsiZulu Home Language,No,78106
