ID,UQNO,Q12Gender,Q13Age,Q14Population,Q15Mothaliv,Q16Mothparthh,Q17Fathaliv,Q18Fathparthh,Q19G_Parparthh,Q22Attend,Q23Eduinst,Q24AGE_GR1,Q25Miss_Day,Q26Miss_Rsn,Q27Daysabsent,Q51AFARMWRK_W,Q51ATIME,Q51BFETCHWATER_W,Q51BTIME,Q51CFETCHWOOD_W,Q51CTIME,Q51DPRODHHGDS_W,Q51DTIME,Q51ECONSTRUC_W,Q51ETIME,Q51FCATCHFOOD_W,Q51FTIME,Q52ABEG_LSTW,Q52BBEG_LSTYR,Q53AFARMWRK_Y,Q53BFETCHWATER_Y,Q53CFETCHWOOD_Y,Q53DPRODHHGDS_Y,Q53ECONSTRUC_Y,Q53FCATCHFOOD_Y,Q54TIME,Q71ACOOK,Q71BCLEAN,Q71CLAUNDRY,Q71DCHILDMIND,Q71EMAINTENANCE,Q71FSHOP,Q71GOTHR,Q72TIME,Q73ATTEND,Q741AFTERSCH,Q742BEFORESCH,Q743WEEKEND,Q75ACLEAN,Q75BMAINTENANCE,Q75CGARDEN,Q75DMARK,Q75EHOUSE,Q75FOTHR,Q76TIME,Q77ADIF_CTCHUP,Q77BNOTIME,Q77CCONCENTRATE,Q77DPUNCTUAL,Q77ELEISURE,Q78ASUBCODE,Q78BSUBCODE,Child_Labour,Geo_Type_Code,Province,Stratum,Metro_code
0,299114180000001401,Female,15,African/Black,1,1.0,1,1.0,2,1,Primary or secondary school,6.0,2.0,-1,1,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2.0,2.0,2,2,2,2,2,2,0.0,1,1,2,2,2,1,2,3.0,1,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,Accounting,IsiXhosa Home Language,0,Urban,Eastern Cape,23103,EC - Nelson Mandela Bay
755,299114180000001401,Male,10,African/Black,1,1.0,1,1.0,2,1,Primary or secondary school,7.0,2.0,-1,1,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2.0,2.0,2,2,2,2,2,2,0.0,2,2,2,2,2,1,2,10.0,1,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,Mathematics,Life Skills,0,Urban,Eastern Cape,23103,EC - Nelson Mandela Bay
1,464100370000008101,Female,16,African/Black,1,1.0,1,2.0,1,1,Primary or secondary school,7.0,2.0,-1,1,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2.0,2.0,2,2,2,2,2,2,0.0,2,1,1,1,2,2,2,5.0,1,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,Accounting,Mathematics,0,Urban,Free State,40105,FS - Non-metro
796,464100370000008101,Male,12,African/Black,1,1.0,1,2.0,1,1,Primary or secondary school,7.0,1.0,1,2,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2.0,2.0,2,2,2,2,2,2,1.0,2,2,2,2,2,1,2,1.0,1,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,Life Skills,Afrikaans First Additional Language,0,Urban,Free State,40105,FS - Non-metro
3008,464100370000008101,Female,16,African/Black,1,1.0,1,2.0,1,1,Primary or secondary school,7.0,2.0,-1,3,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2.0,2.0,2,2,2,2,2,2,0.0,2,2,1,2,2,2,2,1.0,1,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,1.0,2.0,2.0,2.0,English First Additional Language,Accounting,0,Urban,Free State,40105,FS - Non-metro
2,526100710000036001,Female,11,African/Black,1,1.0,1,1.0,2,1,Primary or secondary school,6.0,1.0,15,2,2,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2.0,2.0,2,1,2,2,2,2,0.0,1,1,1,2,2,1,2,1.0,1,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,Mathematics,IsiZulu Home Language,0,Farms,KwaZulu-Natal,50216,KZN - Non-metro
3,524105720000010301,Male,12,African/Black,1,1.0,1,2.0,1,1,Primary or secondary school,6.0,2.0,-1,1,1,1.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2.0,2.0,1,1,2,2,2,2,1.0,1,1,2,2,2,1,2,2.0,1,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,Social Sciences,Mathematics,0,Farms,KwaZulu-Natal,50301,KZN - Non-metro
2188,524105720000010301,Male,7,African/Black,1,1.0,1,2.0,1,1,Primary or secondary school,5.0,1.0,14,2,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2.0,2.0,1,2,2,2,2,2,0.0,2,2,2,2,2,2,2,0.0,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,IsiZulu Home Language,English First Additional Language,0,Farms,KwaZulu-Natal,50301,KZN - Non-metro
10093,524105720000010301,Male,9,African/Black,1,1.0,1,2.0,1,1,Primary or secondary school,6.0,2.0,-1,1,1,1.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2.0,2.0,1,1,2,2,2,2,0.0,1,2,1,2,2,1,2,0.0,1,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,Mathematics,English First Additional Language,0,Farms,KwaZulu-Natal,50301,KZN - Non-metro
4,799131050000010201,Male,9,African/Black,1,1.0,1,2.0,1,1,Primary or secondary school,6.0,2.0,-1,1,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2.0,2.0,2,2,2,2,2,2,0.0,2,1,2,2,2,2,2,1.0,1,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,Mathematics,IsiZulu Home Language,0,Urban,Gauteng,78106,GP - City of Tshwane
