ID,UQNO,Q12Gender,Q13Age,Q14Population,Q15Mothaliv,Q16Mothparthh,Q17Fathaliv,Q18Fathparthh,Q19G_Parparthh,Q22Attend,Q23Eduinst,Q24AGE_GR1,Q25Miss_Day,Q26Miss_Rsn,Q27Daysabsent,Q28Everattend,Q51EXTRAWORK_W,Q51TIME,Q52ABEG_LSTW,Q52BBEG_LSTYR,Q53AFARMWRK_Y,Q53BFETCHWATER_Y,Q53CFETCHWOOD_Y,Q53DPRODHHGDS_Y,Q53ECONSTRUC_Y,Q53FCATCHFOOD_Y,Q54TIME,Q71HHTASKS,Q72TIME,Q741AFTERSCH,Q742BEFORESCH,Q743WEEKEND,Q75SCHOOL_CHORES,Q76TIME,Q77DIFF,Q78BSUBCODE,Stratum
12003,478100200000001280,1,17,1,1,1,2,2,2,1,2.0,6.0,1.0,15.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,2.0,1.0,2.0,1.0,1,0.0,2,Life Sciences,40102
12004,874102170000002048,2,16,1,1,2,1,1,1,1,2.0,6.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,7.0,1.0,2.0,1.0,1,1.0,2,Accounting,80208
12005,987103540000006144,2,10,1,1,1,1,1,2,1,2.0,6.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,3.0,2.0,2.0,1.0,2,0.0,2,Social Sciences,90207
12006,294101620000019072,2,7,1,1,1,1,2,2,1,2.0,6.0,1.0,1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,6.0,1.0,2.0,1.0,2,0.0,2,English First Additional Language,20216
12007,677100820000001664,1,12,1,1,1,1,1,2,1,2.0,6.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,5.0,1.0,2.0,1.0,2,0.0,2,English First Additional Language,60108
12009,282103420000035296,1,16,1,1,2,3,2,2,1,2.0,6.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,10.0,1.0,2.0,1.0,1,1.0,2,Economics,20101
12010,570101430000011328,2,8,1,1,1,1,2,1,1,2.0,6.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,8.0,1.0,2.0,1.0,2,0.0,2,English First Additional Language,50301
12011,598102620000002816,1,13,1,1,1,1,1,2,1,2.0,6.0,2.0,-1.0,2.0,1,1,12.0,2,2,1,1,1,2,2,2,12.0,1,3.0,1.0,2.0,1.0,1,1.0,1,Life Orientation,50217
12012,294100500000020672,2,15,1,1,1,1,2,1,1,2.0,6.0,2.0,-1.0,2.0,1,1,14.0,2,2,1,1,1,2,2,2,28.0,1,10.0,1.0,2.0,1.0,2,0.0,2,Life Sciences,20206
12014,566101990000002816,1,10,1,1,1,1,2,1,1,2.0,6.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,1.0,1.0,2.0,1.0,2,0.0,2,English First Additional Language,50107
12015,668102490000011776,2,8,1,1,1,1,2,2,1,2.0,5.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,1.0,1.0,2.0,1.0,1,0.0,2,English First Additional Language,60205
12016,984104660000009600,2,12,1,1,2,1,2,1,1,2.0,6.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,1.0,1.0,2.0,1.0,1,1.0,2,Mathematics,90210
12017,874108450000001664,2,17,4,1,1,1,1,2,1,2.0,6.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,2,0.0,2.0,2.0,2.0,2,0.0,2,Mathematics,80109
12018,538101470000004224,2,8,1,1,1,1,2,2,1,2.0,7.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,7.0,1.0,2.0,1.0,1,1.0,2,English First Additional Language,50210
12019,963103060000005120,1,9,1,1,1,1,2,1,1,2.0,6.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,2,0.0,2.0,2.0,2.0,2,0.0,2,Natural Sciences,90205
12020,473100900000010624,1,11,1,1,1,1,2,1,1,2.0,7.0,1.0,14.0,3.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,2,0.0,2.0,2.0,2.0,2,0.0,2,IsiZulu Home Language,40105
12022,960102920000002944,2,13,1,1,1,1,1,1,1,2.0,7.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,1.0,1.0,2.0,1.0,1,1.0,2,History,90206
12023,876100480000009344,1,11,1,2,2,1,2,1,1,2.0,6.0,1.0,13.0,-1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,4.0,2.0,2.0,1.0,2,0.0,2,Mathematics,80203
12024,299119550000010176,1,9,1,1,1,1,1,2,1,2.0,6.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,3.0,1.0,2.0,1.0,2,0.0,2,IsiXhosa Home Language,23106
12026,499102300000006208,1,11,1,1,1,1,1,2,1,2.0,6.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,2.0,1.0,2.0,1.0,2,0.0,1,Mathematics,44103
12027,460100460000008896,1,17,1,1,2,1,2,1,2,-1.0,,,-1.0,,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,8.0,,,,2,0.0,2,,40105
12028,662105050000009856,2,8,1,1,1,1,2,2,1,2.0,6.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,2.0,1.0,2.0,1.0,1,1.0,2,Setswana Home Language,60106
12029,466100380000014912,1,13,1,1,2,2,2,1,1,2.0,6.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,0.0,1.0,1.0,1.0,1,0.0,2,Social Sciences,40105
12030,360101720000020800,1,7,1,1,1,1,2,2,1,2.0,6.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,2,0.0,2.0,2.0,2.0,2,0.0,2,Arts & Culture,30401
12031,965101150000015744,1,14,1,1,2,1,1,2,1,2.0,6.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,2.0,1.0,2.0,1.0,2,0.0,2,Mathematics,90101
12032,589102830000007808,2,17,1,1,1,1,1,2,1,2.0,7.0,1.0,1.0,2.0,1,1,7.0,2,2,2,1,2,2,2,2,40.0,1,14.0,1.0,1.0,1.0,1,4.0,2,Mathematics,50212
12033,799145810000019840,1,8,1,1,1,1,1,2,1,2.0,6.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,1.0,1.0,2.0,1.0,2,0.0,2,English First Additional Language,78108
12035,270102750000012512,1,17,1,2,2,1,1,1,1,2.0,7.0,2.0,-1.0,2.0,1,1,5.0,2,2,1,1,2,2,2,2,30.0,1,2.0,1.0,2.0,1.0,2,0.0,2,English First Additional Language,20202
12036,798132550000018432,1,11,1,1,1,1,2,1,1,2.0,6.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,1.0,1.0,2.0,1.0,2,0.0,2,Mathematics,77106
12037,296104470000021824,1,7,1,1,2,1,2,1,1,2.0,6.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,1.0,1.0,2.0,1.0,2,0.0,1,Other,20206
12038,292105160000009792,1,10,1,1,1,1,2,1,1,2.0,5.0,2.0,-1.0,1.0,1,1,5.0,2,2,1,2,2,2,2,2,10.0,2,0.0,2.0,2.0,2.0,2,0.0,1,Mathematics,20210
12039,869104440000019584,1,12,1,1,1,2,2,2,1,2.0,7.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,2.0,1.0,2.0,2.0,1,1.0,2,Life Skills,80102
12041,538200260000046912,1,11,1,1,1,1,2,1,1,2.0,6.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,2,0.0,2.0,2.0,2.0,2,0.0,2,IsiZulu Home Language,50211
12042,866102790000014720,1,17,1,1,1,2,2,2,1,2.0,7.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,5.0,1.0,2.0,1.0,2,0.0,2,English First Additional Language,80101
12043,599141870000003328,1,14,1,1,1,1,2,1,1,2.0,6.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,5.0,1.0,2.0,1.0,1,2.0,1,English First Additional Language,55106
12044,797137320000012160,2,12,1,1,1,1,2,1,1,2.0,6.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,5.0,1.0,2.0,1.0,1,1.0,2,Mathematics,76107
12045,874103020000000384,1,12,1,1,1,1,2,1,1,2.0,7.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,4.0,2.0,2.0,2.0,2,0.0,2,Natural Sciences,80206
12046,471100520000008320,1,17,1,1,1,2,2,2,1,2.0,7.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,1.0,2.0,2.0,1.0,2,0.0,2,History,40105
12047,668102490000003840,2,16,1,1,2,1,2,2,1,2.0,6.0,2.0,-1.0,3.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,5.0,1.0,2.0,1.0,2,0.0,2,Economic Management Sciences,60205
12048,864101160000013824,1,15,1,2,2,2,2,1,1,2.0,7.0,1.0,14.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,10.0,1.0,2.0,1.0,1,2.0,1,Natural Sciences,80101
12050,663100970000004992,2,9,1,1,1,1,1,2,1,2.0,6.0,1.0,1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,1.0,1.0,2.0,1.0,2,0.0,2,Geography,60107
12051,299110500010000512,2,14,1,1,1,1,2,2,1,2.0,7.0,2.0,-1.0,2.0,1,1,2.0,2,2,2,1,2,2,2,2,2.0,1,4.0,1.0,2.0,1.0,1,2.0,1,Mathematics,23101
12053,297102640000006016,1,15,1,1,1,1,2,2,1,2.0,6.0,2.0,-1.0,2.0,1,1,2.0,2,2,2,1,2,2,2,2,2.0,1,3.0,1.0,2.0,1.0,2,0.0,2,Mathematics,20216
12054,964100820000006912,2,7,1,1,1,1,2,2,1,2.0,7.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,2,0.0,2.0,2.0,2.0,2,0.0,2,English First Additional Language,90213
12055,660100190000009472,2,14,1,1,1,1,2,2,1,2.0,5.0,1.0,1.0,2.0,1,1,1.0,2,2,2,1,2,2,2,2,1.0,1,3.0,2.0,2.0,1.0,2,0.0,1,Geography,60204
12056,982102300000003200,1,11,1,2,2,2,2,2,1,2.0,6.0,2.0,-1.0,2.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,7.0,1.0,2.0,1.0,2,0.0,2,Life Orientation,90202
12057,299109350000007872,1,16,1,1,1,1,2,1,1,2.0,6.0,2.0,-1.0,1.0,1,2,0.0,2,2,2,2,2,2,2,2,0.0,1,8.0,1.0,2.0,1.0,1,1.0,2,Mathematics,23103
